second,visitors_per_second,unique_computers,data_sent,is_attack
202,88,59,440000,0
203,100,43,500000,0
204,85,57,425000,0
205,95,45,475000,0
206,105,45,525000,0
207,100,59,500000,0
208,100,51,500000,0
209,92,43,460000,0
210,111,53,555000,0
211,101,50,505000,0
212,100,52,500000,0
213,85,47,425000,0
214,92,50,460000,0
215,105,46,525000,0
216,81,54,405000,0
217,92,49,460000,0
218,104,47,520000,0
219,117,41,585000,0
220,100,50,500000,0
221,113,45,565000,0
222,91,41,455000,0
223,95,58,475000,0
224,95,57,475000,0
225,97,43,485000,0
226,99,59,495000,0
227,96,41,480000,0
228,77,48,385000,0
229,87,56,435000,0
230,92,54,460000,0
231,92,40,460000,0
232,107,44,535000,0
233,94,54,470000,0
234,105,58,525000,0
235,113,56,565000,0
236,96,50,480000,0
237,92,52,460000,0
238,90,42,450000,0
239,86,49,430000,0
240,99,55,495000,0
241,90,56,450000,0
242,86,57,430000,0
243,95,52,475000,0
244,90,40,450000,0
245,100,55,500000,0
246,113,53,565000,0
247,104,42,520000,0
248,115,51,575000,0
249,85,40,425000,0
250,78,56,390000,0
251,106,49,530000,0
252,103,57,515000,0
253,92,43,460000,0
254,82,47,410000,0
255,113,41,565000,0
256,110,52,550000,0
257,99,45,495000,0
258,91,52,455000,0
259,96,57,480000,0
260,112,50,560000,0
261,96,50,480000,0
262,90,47,450000,0
263,90,55,450000,0
264,92,53,460000,0
265,104,50,520000,0
266,106,58,530000,0
267,105,54,525000,0
268,99,41,495000,0
269,100,46,500000,0
270,96,42,480000,0
271,97,43,485000,0
272,99,43,495000,0
273,107,58,535000,0
274,96,57,480000,0
275,89,54,445000,0
276,109,54,545000,0
277,109,48,545000,0
278,94,55,470000,0
279,102,58,510000,0
280,100,41,500000,0
281,98,41,490000,0
282,101,50,505000,0
283,100,53,500000,0
284,95,51,475000,0
285,90,51,450000,0
286,105,42,525000,0
287,100,44,500000,0
288,112,44,560000,0
289,91,55,455000,0
290,106,41,530000,0
291,91,43,455000,0
292,99,40,495000,0
293,102,40,510000,0
294,103,55,515000,0
295,83,49,415000,0
296,88,49,440000,0
297,112,49,560000,0
298,111,55,555000,0
299,104,53,520000,0
300,104,47,520000,0
301,91,51,455000,0
302,95,58,475000,0
303,100,51,500000,0
304,93,57,465000,0
305,113,55,565000,0
306,81,48,405000,0
307,88,40,440000,0
308,99,58,495000,0
309,116,49,580000,0
310,102,45,510000,0
311,89,40,445000,0
312,111,45,555000,0
313,109,46,545000,0
314,101,48,505000,0
315,87,59,435000,0
316,116,50,580000,0
317,106,44,530000,0
318,96,59,480000,0
319,96,40,480000,0
320,99,54,495000,0
321,104,50,520000,0
322,91,49,455000,0
323,97,59,485000,0
324,109,59,545000,0
325,85,49,425000,0
326,107,58,535000,0
327,88,55,440000,0
328,105,42,525000,0
329,107,56,535000,0
330,105,47,525000,0
331,84,57,420000,0
332,103,57,515000,0
333,114,50,570000,0
334,125,40,625000,0
335,98,40,490000,0
336,101,43,505000,0
337,101,47,505000,0
338,105,56,525000,0
339,77,55,385000,0
340,110,49,550000,0
341,98,52,490000,0
342,96,54,480000,0
343,115,59,575000,0
344,105,53,525000,0
345,107,56,535000,0
346,83,50,415000,0
347,94,47,470000,0
348,87,55,435000,0
349,102,58,510000,0
350,111,40,555000,0
351,102,41,510000,0
352,95,42,475000,0
353,100,50,500000,0
354,99,54,495000,0
355,96,49,480000,0
356,100,52,500000,0
357,91,52,455000,0
358,94,40,470000,0
359,96,42,480000,0
360,79,42,395000,0
361,113,50,565000,0
362,92,59,460000,0
363,101,54,505000,0
364,105,44,525000,0
365,89,57,445000,0
366,88,53,440000,0
367,102,56,510000,0
368,111,52,555000,0
369,116,57,580000,0
370,86,54,430000,0
371,94,50,470000,0
372,100,41,500000,0
373,112,42,560000,0
374,107,43,535000,0
375,110,49,550000,0
376,96,49,480000,0
377,94,48,470000,0
378,103,40,515000,0
379,97,50,485000,0
380,99,42,495000,0
381,112,44,560000,0
382,106,59,530000,0
383,81,58,405000,0
384,108,49,540000,0
385,90,45,450000,0
386,101,47,505000,0
387,87,52,435000,0
388,101,55,505000,0
389,97,49,485000,0
390,81,50,405000,0
391,99,55,495000,0
392,91,56,455000,0
393,93,57,465000,0
394,93,45,465000,0
395,105,40,525000,0
396,119,54,595000,0
397,103,47,515000,0
398,100,43,500000,0
399,108,44,540000,0
400,105,46,525000,0
401,96,51,480000,0
402,79,54,395000,0
403,107,45,535000,0
404,106,50,530000,0
405,91,40,455000,0
406,91,45,455000,0
407,101,49,505000,0
408,106,59,530000,0
409,91,44,455000,0
410,109,58,545000,0
411,91,59,455000,0
412,85,44,425000,0
413,84,46,420000,0
414,102,55,510000,0
415,111,55,555000,0
416,105,46,525000,0
417,94,41,470000,0
418,82,55,410000,0
419,86,42,430000,0
420,112,47,560000,0
421,92,48,460000,0
422,107,56,535000,0
423,85,44,425000,0
424,115,42,575000,0
425,117,58,585000,0
426,100,43,500000,0
427,101,53,505000,0
428,93,56,465000,0
429,123,45,615000,0
430,104,49,520000,0
431,98,53,490000,0
432,107,41,535000,0
433,98,46,490000,0
434,108,42,540000,0
435,78,59,390000,0
436,88,45,440000,0
437,116,42,580000,0
438,103,59,515000,0
439,89,47,445000,0
440,101,53,505000,0
441,86,44,430000,0
442,101,46,505000,0
443,81,41,405000,0
444,90,51,450000,0
445,105,47,525000,0
446,102,42,510000,0
447,100,45,500000,0
448,113,58,565000,0
449,90,48,450000,0
450,95,56,475000,0
451,93,53,465000,0
452,87,56,435000,0
453,113,43,565000,0
454,101,41,505000,0
455,88,58,440000,0
456,109,43,545000,0
457,79,46,395000,0
458,108,59,540000,0
459,77,52,385000,0
460,79,48,395000,0
461,89,57,445000,0
462,92,59,460000,0
463,120,58,600000,0
464,116,43,580000,0
465,86,51,430000,0
466,116,49,580000,0
467,94,47,470000,0
468,114,47,570000,0
469,88,40,440000,0
470,102,41,510000,0
471,100,41,500000,0
472,102,53,510000,0
473,69,50,345000,0
474,88,42,440000,0
475,103,48,515000,0
476,108,57,540000,0
477,102,56,510000,0
478,104,55,520000,0
479,122,40,610000,0
480,86,55,430000,0
481,84,54,420000,0
482,96,53,480000,0
483,97,54,485000,0
484,95,41,475000,0
485,78,54,390000,0
486,105,56,525000,0
487,107,55,535000,0
488,92,49,460000,0
489,112,58,560000,0
490,91,57,455000,0
491,107,58,535000,0
492,88,49,440000,0
493,112,56,560000,0
494,109,50,545000,0
495,115,59,575000,0
496,102,42,510000,0
497,87,53,435000,0
498,88,51,440000,0
499,116,58,580000,0
500,106,43,530000,0
501,89,43,445000,0
502,104,55,520000,0
503,105,59,525000,0
504,79,55,395000,0
505,104,41,520000,0
506,81,53,405000,0
507,105,41,525000,0
508,99,51,495000,0
509,103,40,515000,0
510,89,48,445000,0
511,99,45,495000,0
512,102,41,510000,0
513,98,44,490000,0
514,106,42,530000,0
515,79,48,395000,0
516,106,53,530000,0
517,86,51,430000,0
518,96,50,480000,0
519,119,42,595000,0
520,83,45,415000,0
521,114,59,570000,0
522,89,42,445000,0
523,108,54,540000,0
524,96,41,480000,0
525,98,41,490000,0
526,93,57,465000,0
527,90,58,450000,0
528,89,54,445000,0
529,94,49,470000,0
530,117,49,585000,0
531,87,57,435000,0
532,106,56,530000,0
533,109,49,545000,0
534,98,53,490000,0
535,102,43,510000,0
536,104,56,520000,0
537,102,57,510000,0
538,103,56,515000,0
539,89,53,445000,0
540,111,55,555000,0
541,112,40,560000,0
542,98,51,490000,0
543,107,52,535000,0
544,91,58,455000,0
545,97,55,485000,0
546,95,45,475000,0
547,114,41,570000,0
548,99,53,495000,0
549,86,52,430000,0
550,87,51,435000,0
551,106,53,530000,0
552,95,54,475000,0
553,95,42,475000,0
554,100,47,500000,0
555,98,52,490000,0
556,87,51,435000,0
557,115,46,575000,0
558,99,56,495000,0
559,98,48,490000,0
560,110,45,550000,0
561,108,48,540000,0
562,103,56,515000,0
563,97,51,485000,0
564,88,49,440000,0
565,112,56,560000,0
566,103,57,515000,0
567,105,53,525000,0
568,91,44,455000,0
569,88,56,440000,0
570,94,41,470000,0
571,100,55,500000,0
572,80,43,400000,0
573,101,49,505000,0
574,105,58,525000,0
575,102,51,510000,0
576,124,49,620000,0
577,105,48,525000,0
578,106,52,530000,0
579,98,45,490000,0
580,102,58,510000,0
581,76,55,380000,0
582,96,49,480000,0
583,108,45,540000,0
584,92,44,460000,0
585,108,52,540000,0
586,96,47,480000,0
587,106,53,530000,0
588,95,55,475000,0
589,83,40,415000,0
590,104,43,520000,0
591,99,43,495000,0
592,97,48,485000,0
593,96,52,480000,0
594,115,43,575000,0
595,105,47,525000,0
596,117,48,585000,0
597,102,44,510000,0
598,96,52,480000,0
599,121,41,605000,0
600,93,58,465000,0
601,82,41,410000,0
602,102,54,510000,0
603,91,54,455000,0
604,111,44,555000,0
605,122,44,610000,0
606,102,51,510000,0
607,100,50,500000,0
608,101,50,505000,0
609,91,40,455000,0
610,92,50,460000,0
611,97,59,485000,0
612,98,50,490000,0
613,119,59,595000,0
614,93,44,465000,0
615,110,42,550000,0
616,99,45,495000,0
617,101,54,505000,0
618,107,42,535000,0
619,97,44,485000,0
620,103,50,515000,0
621,101,54,505000,0
622,107,44,535000,0
623,109,50,545000,0
624,103,43,515000,0
625,96,56,480000,0
626,86,55,430000,0
627,89,43,445000,0
628,112,51,560000,0
629,97,47,485000,0
630,88,57,440000,0
631,97,43,485000,0
632,98,41,490000,0
633,97,54,485000,0
634,102,57,510000,0
635,81,58,405000,0
636,102,54,510000,0
637,114,56,570000,0
638,97,41,485000,0
639,114,57,570000,0
640,104,52,520000,0
641,99,50,495000,0
642,113,55,565000,0
643,117,41,585000,0
644,96,40,480000,0
645,99,46,495000,0
646,113,53,565000,0
647,107,41,535000,0
648,96,51,480000,0
649,99,52,495000,0
650,87,59,435000,0
651,120,59,600000,0
652,103,44,515000,0
653,103,48,515000,0
654,110,42,550000,0
655,94,56,470000,0
656,106,52,530000,0
657,80,55,400000,0
658,84,40,420000,0
659,106,50,530000,0
660,107,43,535000,0
661,104,55,520000,0
662,112,40,560000,0
663,86,59,430000,0
664,105,45,525000,0
665,95,57,475000,0
666,96,45,480000,0
667,102,50,510000,0
668,102,57,510000,0
669,104,41,520000,0
670,110,51,550000,0
671,115,47,575000,0
672,95,47,475000,0
673,100,57,500000,0
674,108,40,540000,0
675,120,57,600000,0
676,101,54,505000,0
677,91,48,455000,0
678,110,50,550000,0
679,102,57,510000,0
680,109,48,545000,0
681,110,46,550000,0
682,85,54,425000,0
683,89,56,445000,0
684,91,59,455000,0
685,109,40,545000,0
686,113,47,565000,0
687,93,48,465000,0
688,113,45,565000,0
689,99,52,495000,0
690,102,47,510000,0
691,97,56,485000,0
692,105,58,525000,0
693,100,49,500000,0
694,116,52,580000,0
695,85,45,425000,0
696,101,41,505000,0
697,100,53,500000,0
698,84,44,420000,0
699,120,48,600000,0
700,85,41,425000,0
701,90,44,450000,0
702,96,48,480000,0
703,91,56,455000,0
704,96,56,480000,0
705,97,57,485000,0
706,105,50,525000,0
707,103,57,515000,0
708,118,54,590000,0
709,106,41,530000,0
710,86,41,430000,0
711,121,47,605000,0
712,96,46,480000,0
713,102,52,510000,0
714,86,55,430000,0
715,100,45,500000,0
716,96,42,480000,0
717,82,43,410000,0
718,93,54,465000,0
719,106,40,530000,0
720,104,44,520000,0
721,106,43,530000,0
722,101,59,505000,0
723,111,56,555000,0
724,107,42,535000,0
725,104,52,520000,0
726,115,47,575000,0
727,88,42,440000,0
728,106,41,530000,0
729,112,45,560000,0
730,114,41,570000,0
731,99,53,495000,0
732,101,56,505000,0
733,104,42,520000,0
734,96,53,480000,0
735,97,59,485000,0
736,96,47,480000,0
737,95,52,475000,0
738,99,52,495000,0
739,89,50,445000,0
740,94,58,470000,0
741,112,54,560000,0
742,81,50,405000,0
743,100,49,500000,0
744,111,50,555000,0
745,99,47,495000,0
746,106,58,530000,0
747,101,55,505000,0
748,101,49,505000,0
749,91,41,455000,0
750,90,48,450000,0
751,100,57,500000,0
752,101,52,505000,0
753,97,41,485000,0
754,91,46,455000,0
755,98,40,490000,0
756,81,51,405000,0
757,101,52,505000,0
758,90,40,450000,0
759,93,56,465000,0
760,100,51,500000,0
761,102,57,510000,0
762,96,41,480000,0
763,103,43,515000,0
764,98,47,490000,0
765,100,53,500000,0
766,117,54,585000,0
767,81,52,405000,0
768,109,57,545000,0
769,88,57,440000,0
770,106,43,530000,0
771,117,51,585000,0
772,108,42,540000,0
773,104,56,520000,0
774,94,53,470000,0
775,101,51,505000,0
776,105,51,525000,0
777,96,49,480000,0
778,103,55,515000,0
779,102,44,510000,0
780,85,58,425000,0
781,111,56,555000,0
782,97,49,485000,0
783,103,40,515000,0
784,94,48,470000,0
785,87,48,435000,0
786,105,58,525000,0
787,100,44,500000,0
788,85,43,425000,0
789,94,59,470000,0
790,89,57,445000,0
791,97,40,485000,0
792,93,52,465000,0
793,115,41,575000,0
794,99,47,495000,0
795,102,44,510000,0
796,100,59,500000,0
797,95,43,475000,0
798,103,53,515000,0
799,97,56,485000,0
800,113,51,565000,0
801,111,53,555000,0
802,113,40,565000,0
803,83,48,415000,0
804,100,54,500000,0
805,93,47,465000,0
806,85,58,425000,0
807,79,58,395000,0
808,105,58,525000,0
809,85,52,425000,0
810,85,57,425000,0
811,107,52,535000,0
812,105,51,525000,0
813,101,40,505000,0
814,82,52,410000,0
815,112,47,560000,0
816,113,59,565000,0
817,98,58,490000,0
818,103,42,515000,0
819,96,47,480000,0
820,103,46,515000,0
821,119,56,595000,0
822,121,55,605000,0
823,80,54,400000,0
824,121,41,605000,0
825,116,49,580000,0
826,102,48,510000,0
827,96,53,480000,0
828,107,44,535000,0
829,101,48,505000,0
830,106,47,530000,0
831,93,54,465000,0
832,102,57,510000,0
833,107,57,535000,0
834,128,49,640000,0
835,111,57,555000,0
836,106,57,530000,0
837,121,40,605000,0
838,100,41,500000,0
839,96,47,480000,0
840,111,47,555000,0
841,104,50,520000,0
842,97,51,485000,0
843,105,45,525000,0
844,105,54,525000,0
845,95,56,475000,0
846,91,58,455000,0
847,94,51,470000,0
848,103,59,515000,0
849,99,44,495000,0
850,96,47,480000,0
851,99,56,495000,0
852,105,43,525000,0
853,105,52,525000,0
854,92,41,460000,0
855,94,56,470000,0
856,100,46,500000,0
857,90,56,450000,0
858,92,55,460000,0
859,91,44,455000,0
860,97,50,485000,0
861,83,53,415000,0
862,85,57,425000,0
863,94,56,470000,0
864,115,49,575000,0
865,117,49,585000,0
866,85,58,425000,0
867,98,45,490000,0
868,104,55,520000,0
869,78,47,390000,0
870,82,52,410000,0
871,93,54,465000,0
872,101,49,505000,0
873,83,51,415000,0
874,99,42,495000,0
875,101,56,505000,0
876,91,49,455000,0
877,99,51,495000,0
878,91,43,455000,0
879,110,55,550000,0
880,107,52,535000,0
881,104,52,520000,0
882,118,54,590000,0
883,107,59,535000,0
884,84,58,420000,0
885,98,51,490000,0
886,99,45,495000,0
887,101,41,505000,0
888,105,50,525000,0
889,96,41,480000,0
890,94,57,470000,0
891,104,49,520000,0
892,110,53,550000,0
893,95,51,475000,0
894,93,45,465000,0
895,75,41,375000,0
896,109,51,545000,0
897,98,48,490000,0
898,112,44,560000,0
899,105,59,525000,0
900,105,56,525000,0
901,101,57,505000,0
902,93,42,465000,0
903,114,51,570000,0
904,96,47,480000,0
905,97,52,485000,0
906,89,48,445000,0
907,94,41,470000,0
908,111,58,555000,0
909,88,43,440000,0
910,100,56,500000,0
911,90,44,450000,0
912,89,53,445000,0
913,114,59,570000,0
914,106,48,530000,0
915,97,41,485000,0
916,102,56,510000,0
917,90,41,450000,0
918,85,47,425000,0
919,92,54,460000,0
920,87,59,435000,0
921,95,42,475000,0
922,111,58,555000,0
923,103,51,515000,0
924,88,44,440000,0
925,94,54,470000,0
926,95,56,475000,0
927,107,42,535000,0
928,87,52,435000,0
929,98,58,490000,0
930,107,48,535000,0
931,88,55,440000,0
932,95,41,475000,0
933,129,54,645000,0
934,100,43,500000,0
935,99,59,495000,0
936,107,55,535000,0
937,103,40,515000,0
938,86,50,430000,0
939,101,48,505000,0
940,106,52,530000,0
941,87,49,435000,0
942,108,45,540000,0
943,97,47,485000,0
944,93,54,465000,0
945,95,50,475000,0
946,92,46,460000,0
947,93,58,465000,0
948,79,41,395000,0
949,87,44,435000,0
950,104,45,520000,0
951,94,58,470000,0
952,98,54,490000,0
953,115,57,575000,0
954,75,42,375000,0
955,88,45,440000,0
956,102,53,510000,0
957,99,40,495000,0
958,92,43,460000,0
959,110,59,550000,0
960,91,57,455000,0
961,82,48,410000,0
962,104,57,520000,0
963,91,45,455000,0
964,111,52,555000,0
965,100,54,500000,0
966,100,51,500000,0
967,108,55,540000,0
968,119,51,595000,0
969,105,59,525000,0
970,96,48,480000,0
971,95,55,475000,0
972,102,49,510000,0
973,93,56,465000,0
974,78,55,390000,0
975,93,40,465000,0
976,94,40,470000,0
977,92,55,460000,0
978,111,44,555000,0
979,111,40,555000,0
980,110,48,550000,0
981,105,58,525000,0
982,109,59,545000,0
983,80,43,400000,0
984,114,51,570000,0
985,94,45,470000,0
986,80,53,400000,0
987,99,50,495000,0
988,101,51,505000,0
989,93,47,465000,0
990,97,46,485000,0
991,97,52,485000,0
992,94,55,470000,0
993,84,42,420000,0
994,110,50,550000,0
995,98,58,490000,0
996,93,51,465000,0
997,112,53,560000,0
998,99,52,495000,0
999,97,50,485000,0
1000,104,53,520000,0
1001,102,53,510000,0
1002,89,45,445000,0
1003,90,54,450000,0
1004,94,58,470000,0
1005,125,55,625000,0
1006,116,49,580000,0
1007,95,41,475000,0
1008,103,51,515000,0
1009,97,46,485000,0
1010,107,52,535000,0
1011,97,50,485000,0
1012,89,55,445000,0
1013,91,52,455000,0
1014,103,44,515000,0
1015,90,57,450000,0
1016,105,52,525000,0
1017,86,58,430000,0
1018,90,54,450000,0
1019,103,44,515000,0
1020,97,41,485000,0
1021,86,44,430000,0
1022,85,51,425000,0
1023,100,55,500000,0
1024,74,56,370000,0
1025,100,47,500000,0
1026,95,41,475000,0
1027,90,46,450000,0
1028,104,52,520000,0
1029,103,42,515000,0
1030,109,51,545000,0
1031,76,40,380000,0
1032,79,50,395000,0
1033,98,55,490000,0
1034,92,43,460000,0
1035,98,57,490000,0
1036,103,49,515000,0
1037,104,41,520000,0
1038,106,50,530000,0
1039,101,57,505000,0
1040,122,54,610000,0
1041,111,43,555000,0
1042,110,41,550000,0
1043,86,59,430000,0
1044,100,44,500000,0
1045,100,48,500000,0
1046,99,42,495000,0
1047,92,49,460000,0
1048,108,43,540000,0
1049,106,47,530000,0
1050,95,47,475000,0
1051,86,55,430000,0
1052,111,42,555000,0
1053,101,51,505000,0
1054,119,56,595000,0
1055,100,58,500000,0
1056,98,56,490000,0
1057,101,42,505000,0
1058,109,53,545000,0
1059,118,50,590000,0
1060,108,50,540000,0
1061,99,56,495000,0
1062,86,52,430000,0
1063,110,40,550000,0
1064,105,45,525000,0
1065,94,46,470000,0
1066,119,45,595000,0
1067,112,58,560000,0
1068,116,47,580000,0
1069,96,53,480000,0
1070,92,46,460000,0
1071,87,44,435000,0
1072,110,41,550000,0
1073,107,50,535000,0
1074,107,45,535000,0
1075,109,49,545000,0
1076,107,57,535000,0
1077,96,52,480000,0
1078,104,41,520000,0
1079,101,48,505000,0
1080,98,45,490000,0
1081,106,47,530000,0
1082,92,42,460000,0
1083,82,47,410000,0
1084,102,52,510000,0
1085,99,58,495000,0
1086,100,47,500000,0
1087,86,58,430000,0
1088,96,56,480000,0
1089,108,57,540000,0
1090,98,45,490000,0
1091,113,59,565000,0
1092,91,59,455000,0
1093,97,51,485000,0
1094,93,52,465000,0
1095,103,53,515000,0
1096,97,58,485000,0
1097,77,47,385000,0
1098,98,52,490000,0
1099,107,50,535000,0
1100,104,41,520000,0
1101,89,43,445000,0
1102,100,54,500000,0
1103,104,53,520000,0
1104,95,50,475000,0
1105,112,57,560000,0
1106,96,51,480000,0
1107,108,46,540000,0
1108,108,50,540000,0
1109,104,57,520000,0
1110,99,45,495000,0
1111,101,57,505000,0
1112,100,58,500000,0
1113,92,50,460000,0
1114,104,48,520000,0
1115,105,59,525000,0
1116,86,53,430000,0
1117,105,42,525000,0
1118,95,51,475000,0
1119,89,56,445000,0
1120,85,58,425000,0
1121,92,47,460000,0
1122,90,51,450000,0
1123,104,42,520000,0
1124,102,48,510000,0
1125,104,57,520000,0
1126,87,54,435000,0
1127,97,48,485000,0
1128,95,57,475000,0
1129,101,48,505000,0
1130,87,55,435000,0
1131,76,59,380000,0
1132,98,45,490000,0
1133,113,47,565000,0
1134,104,56,520000,0
1135,89,41,445000,0
1136,113,45,565000,0
1137,90,50,450000,0
1138,113,45,565000,0
1139,103,44,515000,0
1140,97,40,485000,0
1141,124,59,620000,0
1142,99,48,495000,0
1143,108,43,540000,0
1144,102,50,510000,0
1145,107,58,535000,0
1146,107,41,535000,0
1147,99,41,495000,0
1148,77,56,385000,0
1149,109,51,545000,0
1150,109,41,545000,0
1151,105,56,525000,0
1152,100,45,500000,0
1153,106,45,530000,0
1154,90,43,450000,0
1155,94,56,470000,0
1156,110,55,550000,0
1157,100,48,500000,0
1158,92,46,460000,0
1159,102,59,510000,0
1160,109,51,545000,0
1161,85,40,425000,0
1162,102,52,510000,0
1163,99,57,495000,0
1164,111,57,555000,0
1165,93,56,465000,0
1166,103,53,515000,0
1167,123,57,615000,0
1168,89,53,445000,0
1169,92,51,460000,0
1170,105,44,525000,0
1171,130,54,650000,0
1172,103,59,515000,0
1173,112,56,560000,0
1174,93,57,465000,0
1175,91,48,455000,0
1176,103,42,515000,0
1177,95,47,475000,0
1178,109,49,545000,0
1179,103,45,515000,0
1180,95,57,475000,0
1181,96,41,480000,0
1182,89,44,445000,0
1183,94,50,470000,0
1184,92,41,460000,0
1185,84,45,420000,0
1186,88,57,440000,0
1187,99,41,495000,0
1188,81,45,405000,0
1189,80,45,400000,0
1190,119,49,595000,0
1191,91,49,455000,0
1192,93,53,465000,0
1193,92,49,460000,0
1194,113,50,565000,0
1195,109,49,545000,0
1196,90,40,450000,0
1197,96,41,480000,0
1198,97,44,485000,0
1199,111,50,555000,0
1200,100,55,500000,0
1201,89,49,445000,0
1202,79,55,395000,0
1203,82,50,410000,0
1204,101,57,505000,0
1205,85,57,425000,0
1206,112,51,560000,0
1207,84,51,420000,0
1208,110,52,550000,0
1209,97,59,485000,0
1210,109,42,545000,0
1211,90,53,450000,0
1212,105,55,525000,0
1213,103,45,515000,0
1214,109,47,545000,0
1215,110,57,550000,0
1216,73,57,365000,0
1217,102,49,510000,0
1218,100,44,500000,0
1219,97,49,485000,0
1220,105,50,525000,0
1221,93,50,465000,0
1222,105,56,525000,0
1223,111,56,555000,0
1224,111,44,555000,0
1225,101,56,505000,0
1226,102,57,510000,0
1227,90,54,450000,0
1228,100,40,500000,0
1229,103,45,515000,0
1230,102,51,510000,0
1231,94,51,470000,0
1232,78,42,390000,0
1233,105,47,525000,0
1234,112,49,560000,0
1235,97,43,485000,0
1236,105,44,525000,0
1237,112,42,560000,0
1238,97,51,485000,0
1239,81,43,405000,0
1240,97,56,485000,0
1241,96,42,480000,0
1242,90,40,450000,0
1243,82,52,410000,0
1244,91,58,455000,0
